paper_id,field1,domain1,field2,domain2,field3,domain3
1509303,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Materials Science,Physical Sciences,Engineering,Physical Sciences
87903,Social Sciences,Social Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1393713,Social Sciences,Social Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1474543,Social Sciences,Social Sciences,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1530349,Social Sciences,Social Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1428539,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1384993,Computer Science,Physical Sciences,Neuroscience,Life Sciences,Agricultural and Biological Sciences,Life Sciences
72116,Social Sciences,Social Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Agricultural and Biological Sciences,Life Sciences
1427700,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1406554,Neuroscience,Life Sciences,Computer Science,Physical Sciences,,
24550,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1261448,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
282471,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Materials Science,Physical Sciences,Engineering,Physical Sciences
1466203,Materials Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1348818,Engineering,Physical Sciences,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
508024,Computer Science,Physical Sciences,Mathematics,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1497473,Materials Science,Physical Sciences,Chemistry,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
116045,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1474226,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1416279,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Decision Sciences,Social Sciences,,
