paper_id,field1,domain1,field2,domain2,field3,domain3
87903,Social Sciences,Social Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1324188,Social Sciences,Social Sciences,,,,
1393713,Social Sciences,Social Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1474543,Social Sciences,Social Sciences,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1510526,Social Sciences,Social Sciences,Decision Sciences,Social Sciences,,
1530349,Social Sciences,Social Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
95646,Computer Science,Physical Sciences,Social Sciences,Social Sciences,,
654603,Physics and Astronomy,Physical Sciences,Decision Sciences,Social Sciences,,
1420666,Computer Science,Physical Sciences,Mathematics,Physical Sciences,Decision Sciences,Social Sciences
303266,Physics and Astronomy,Physical Sciences,"Economics, Econometrics and Finance",Social Sciences,Computer Science,Physical Sciences
259206,Decision Sciences,Social Sciences,Mathematics,Physical Sciences,,
388875,Decision Sciences,Social Sciences,Computer Science,Physical Sciences,,
1394597,Mathematics,Physical Sciences,Decision Sciences,Social Sciences,"Economics, Econometrics and Finance",Social Sciences
1417195,Decision Sciences,Social Sciences,"Economics, Econometrics and Finance",Social Sciences,Medicine,Health Sciences
702655,Computer Science,Physical Sciences,Social Sciences,Social Sciences,,
1487289,Computer Science,Physical Sciences,Decision Sciences,Social Sciences,,
1457445,Computer Science,Physical Sciences,Decision Sciences,Social Sciences,,
72116,Social Sciences,Social Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Agricultural and Biological Sciences,Life Sciences
1344826,Social Sciences,Social Sciences,Physics and Astronomy,Physical Sciences,Medicine,Health Sciences
440877,Physics and Astronomy,Physical Sciences,Social Sciences,Social Sciences,,
12962,Computer Science,Physical Sciences,Psychology,Social Sciences,,
1389641,Psychology,Social Sciences,Engineering,Physical Sciences,,
1271065,Decision Sciences,Social Sciences,"Economics, Econometrics and Finance",Social Sciences,,
398915,"Economics, Econometrics and Finance",Social Sciences,Mathematics,Physical Sciences,,
240857,Decision Sciences,Social Sciences,Computer Science,Physical Sciences,Engineering,Physical Sciences
1396811,Decision Sciences,Social Sciences,Mathematics,Physical Sciences,,
18144,Physics and Astronomy,Physical Sciences,Mathematics,Physical Sciences,"Economics, Econometrics and Finance",Social Sciences
231849,Social Sciences,Social Sciences,Physics and Astronomy,Physical Sciences,,
219593,Computer Science,Physical Sciences,Social Sciences,Social Sciences,,
1399378,Computer Science,Physical Sciences,Social Sciences,Social Sciences,,
1400924,Social Sciences,Social Sciences,Physics and Astronomy,Physical Sciences,,
153780,Computer Science,Physical Sciences,Social Sciences,Social Sciences,,
1487728,Computer Science,Physical Sciences,Social Sciences,Social Sciences,,
361055,Physics and Astronomy,Physical Sciences,Decision Sciences,Social Sciences,Computer Science,Physical Sciences
1341684,Physics and Astronomy,Physical Sciences,Computer Science,Physical Sciences,Decision Sciences,Social Sciences
1494449,Decision Sciences,Social Sciences,Mathematics,Physical Sciences,,
102781,Computer Science,Physical Sciences,Decision Sciences,Social Sciences,,
1416279,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Decision Sciences,Social Sciences,,
135631,Computer Science,Physical Sciences,Social Sciences,Social Sciences,,
82638,Computer Science,Physical Sciences,"Business, Management and Accounting",Social Sciences,Decision Sciences,Social Sciences
84535,Physics and Astronomy,Physical Sciences,Computer Science,Physical Sciences,Arts and Humanities,Social Sciences
1474967,Mathematics,Physical Sciences,"Economics, Econometrics and Finance",Social Sciences,,
241154,Engineering,Physical Sciences,Decision Sciences,Social Sciences,,
1501007,Mathematics,Physical Sciences,"Economics, Econometrics and Finance",Social Sciences,,
1510160,Computer Science,Physical Sciences,Social Sciences,Social Sciences,,
976743,Psychology,Social Sciences,,,,
1302503,Environmental Science,Physical Sciences,"Economics, Econometrics and Finance",Social Sciences,Computer Science,Physical Sciences
710141,Computer Science,Physical Sciences,"Economics, Econometrics and Finance",Social Sciences,,
1399278,Engineering,Physical Sciences,Computer Science,Physical Sciences,Decision Sciences,Social Sciences
27772,Mathematics,Physical Sciences,"Economics, Econometrics and Finance",Social Sciences,,
89385,"Economics, Econometrics and Finance",Social Sciences,"Business, Management and Accounting",Social Sciences,,
1416116,Social Sciences,Social Sciences,"Business, Management and Accounting",Social Sciences,,
1255051,Physics and Astronomy,Physical Sciences,"Economics, Econometrics and Finance",Social Sciences,,
138942,Engineering,Physical Sciences,Decision Sciences,Social Sciences,,
59824,Computer Science,Physical Sciences,Psychology,Social Sciences,,
1470722,Social Sciences,Social Sciences,Psychology,Social Sciences,Medicine,Health Sciences
40262,Social Sciences,Social Sciences,Computer Science,Physical Sciences,,
1509175,Computer Science,Physical Sciences,Social Sciences,Social Sciences,,
1358892,Engineering,Physical Sciences,Decision Sciences,Social Sciences,,
391106,Social Sciences,Social Sciences,Computer Science,Physical Sciences,,
1493767,Computer Science,Physical Sciences,Decision Sciences,Social Sciences,,
1355706,Computer Science,Physical Sciences,Social Sciences,Social Sciences,,
1355709,Social Sciences,Social Sciences,Computer Science,Physical Sciences,,
608377,Engineering,Physical Sciences,Psychology,Social Sciences,,
96011,Physics and Astronomy,Physical Sciences,Social Sciences,Social Sciences,,
1465318,Computer Science,Physical Sciences,Social Sciences,Social Sciences,,
60930,Agricultural and Biological Sciences,Life Sciences,Social Sciences,Social Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
