paper_id,field1,domain1,field2,domain2,field3,domain3
1454177,Physics and Astronomy,Physical Sciences,Computer Science,Physical Sciences,,
1308371,Computer Science,Physical Sciences,,,,
171293,Materials Science,Physical Sciences,Chemistry,Physical Sciences,Computer Science,Physical Sciences
176523,Computer Science,Physical Sciences,,,,
1454942,Computer Science,Physical Sciences,,,,
51520,Computer Science,Physical Sciences,,,,
1397488,Computer Science,Physical Sciences,,,,
95646,Computer Science,Physical Sciences,Social Sciences,Social Sciences,,
138804,Computer Science,Physical Sciences,,,,
1490861,Computer Science,Physical Sciences,,,,
1344013,Computer Science,Physical Sciences,,,,
54666,Computer Science,Physical Sciences,,,,
1422054,Computer Science,Physical Sciences,Physics and Astronomy,Physical Sciences,Chemistry,Physical Sciences
1420666,Computer Science,Physical Sciences,Mathematics,Physical Sciences,Decision Sciences,Social Sciences
303266,Physics and Astronomy,Physical Sciences,"Economics, Econometrics and Finance",Social Sciences,Computer Science,Physical Sciences
1375225,Computer Science,Physical Sciences,Environmental Science,Physical Sciences,,
388875,Decision Sciences,Social Sciences,Computer Science,Physical Sciences,,
702655,Computer Science,Physical Sciences,Social Sciences,Social Sciences,,
1487289,Computer Science,Physical Sciences,Decision Sciences,Social Sciences,,
1457445,Computer Science,Physical Sciences,Decision Sciences,Social Sciences,,
1409089,Computer Science,Physical Sciences,Mathematics,Physical Sciences,,
1398146,Computer Science,Physical Sciences,,,,
1384993,Computer Science,Physical Sciences,Neuroscience,Life Sciences,Agricultural and Biological Sciences,Life Sciences
564881,Computer Science,Physical Sciences,,,,
1490210,Computer Science,Physical Sciences,Physics and Astronomy,Physical Sciences,,
158251,Mathematics,Physical Sciences,Computer Science,Physical Sciences,Engineering,Physical Sciences
31889,Mathematics,Physical Sciences,Computer Science,Physical Sciences,,
1498346,Computer Science,Physical Sciences,Mathematics,Physical Sciences,,
1331787,Mathematics,Physical Sciences,Computer Science,Physical Sciences,,
41276,Engineering,Physical Sciences,Computer Science,Physical Sciences,,
169118,Mathematics,Physical Sciences,Computer Science,Physical Sciences,,
1479374,Computer Science,Physical Sciences,Mathematics,Physical Sciences,,
1406554,Neuroscience,Life Sciences,Computer Science,Physical Sciences,,
729801,Mathematics,Physical Sciences,Engineering,Physical Sciences,Computer Science,Physical Sciences
815818,Mathematics,Physical Sciences,Computer Science,Physical Sciences,,
871860,Mathematics,Physical Sciences,Computer Science,Physical Sciences,,
1266241,Mathematics,Physical Sciences,Computer Science,Physical Sciences,,
1274217,Mathematics,Physical Sciences,Computer Science,Physical Sciences,,
1279409,Mathematics,Physical Sciences,Computer Science,Physical Sciences,,
1280872,Mathematics,Physical Sciences,Computer Science,Physical Sciences,,
1464240,Earth and Planetary Sciences,Physical Sciences,Computer Science,Physical Sciences,,
12962,Computer Science,Physical Sciences,Psychology,Social Sciences,,
101273,Computer Science,Physical Sciences,Physics and Astronomy,Physical Sciences,,
1504262,Computer Science,Physical Sciences,Physics and Astronomy,Physical Sciences,,
1324502,Computer Science,Physical Sciences,Engineering,Physical Sciences,,
1421763,Engineering,Physical Sciences,Computer Science,Physical Sciences,,
1392447,Computer Science,Physical Sciences,Mathematics,Physical Sciences,,
