paper_id,field1,domain1,field2,domain2,field3,domain3
1509303,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Materials Science,Physical Sciences,Engineering,Physical Sciences
90552,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,Earth and Planetary Sciences,Physical Sciences
1231280,Engineering,Physical Sciences,Physics and Astronomy,Physical Sciences,,
1234190,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,,
1327504,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,,
481920,Materials Science,Physical Sciences,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences
1334232,Materials Science,Physical Sciences,Engineering,Physical Sciences,,
457264,Engineering,Physical Sciences,,,,
1293845,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,,
1364826,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,,
1272292,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,,
280890,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,,
1472357,Engineering,Physical Sciences,Physics and Astronomy,Physical Sciences,,
1349360,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,,
1369711,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,,
158251,Mathematics,Physical Sciences,Computer Science,Physical Sciences,Engineering,Physical Sciences
41276,Engineering,Physical Sciences,Computer Science,Physical Sciences,,
1233514,Engineering,Physical Sciences,,,,
609106,Engineering,Physical Sciences,Physics and Astronomy,Physical Sciences,,
1437879,Materials Science,Physical Sciences,Engineering,Physical Sciences,Physics and Astronomy,Physical Sciences
1312349,Engineering,Physical Sciences,Physics and Astronomy,Physical Sciences,,
729801,Mathematics,Physical Sciences,Engineering,Physical Sciences,Computer Science,Physical Sciences
1389641,Psychology,Social Sciences,Engineering,Physical Sciences,,
259958,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,,
102099,Mathematics,Physical Sciences,Medicine,Health Sciences,Engineering,Physical Sciences
22045,Engineering,Physical Sciences,Medicine,Health Sciences,Mathematics,Physical Sciences
1324502,Computer Science,Physical Sciences,Engineering,Physical Sciences,,
1421763,Engineering,Physical Sciences,Computer Science,Physical Sciences,,
271404,Engineering,Physical Sciences,Energy,Physical Sciences,,
33724,Computer Science,Physical Sciences,Engineering,Physical Sciences,,
100199,Mathematics,Physical Sciences,Engineering,Physical Sciences,,
377708,Mathematics,Physical Sciences,Engineering,Physical Sciences,,
240857,Decision Sciences,Social Sciences,Computer Science,Physical Sciences,Engineering,Physical Sciences
