paper_id,field1,domain1,field2,domain2,field3,domain3
231494,Physics and Astronomy,Physical Sciences,,,,
1454177,Physics and Astronomy,Physical Sciences,Computer Science,Physical Sciences,,
233526,Physics and Astronomy,Physical Sciences,,,,
94761,Physics and Astronomy,Physical Sciences,,,,
1413346,Physics and Astronomy,Physical Sciences,,,,
1275048,Materials Science,Physical Sciences,Physics and Astronomy,Physical Sciences,,
48081,Physics and Astronomy,Physical Sciences,,,,
85558,Physics and Astronomy,Physical Sciences,,,,
25669,Physics and Astronomy,Physical Sciences,,,,
49359,Physics and Astronomy,Physical Sciences,,,,
1319076,Physics and Astronomy,Physical Sciences,,,,
1497186,Physics and Astronomy,Physical Sciences,,,,
1404856,Physics and Astronomy,Physical Sciences,,,,
1353462,Physics and Astronomy,Physical Sciences,,,,
133394,Physics and Astronomy,Physical Sciences,Materials Science,Physical Sciences,,
364758,Mathematics,Physical Sciences,Physics and Astronomy,Physical Sciences,,
90552,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,Earth and Planetary Sciences,Physical Sciences
1231280,Engineering,Physical Sciences,Physics and Astronomy,Physical Sciences,,
38606,Physics and Astronomy,Physical Sciences,,,,
1234190,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,,
82652,Physics and Astronomy,Physical Sciences,,,,
225913,Physics and Astronomy,Physical Sciences,,,,
1459377,Physics and Astronomy,Physical Sciences,,,,
1417751,Physics and Astronomy,Physical Sciences,,,,
1474543,Social Sciences,Social Sciences,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
157453,Physics and Astronomy,Physical Sciences,,,,
20674,Physics and Astronomy,Physical Sciences,,,,
1403539,Physics and Astronomy,Physical Sciences,Earth and Planetary Sciences,Physical Sciences,,
1488737,Physics and Astronomy,Physical Sciences,,,,
55115,Physics and Astronomy,Physical Sciences,,,,
1323846,Physics and Astronomy,Physical Sciences,,,,
654603,Physics and Astronomy,Physical Sciences,Decision Sciences,Social Sciences,,
1493505,Physics and Astronomy,Physical Sciences,,,,
1135599,Physics and Astronomy,Physical Sciences,,,,
1229486,Physics and Astronomy,Physical Sciences,,,,
1422054,Computer Science,Physical Sciences,Physics and Astronomy,Physical Sciences,Chemistry,Physical Sciences
241232,Physics and Astronomy,Physical Sciences,,,,
1488669,Physics and Astronomy,Physical Sciences,,,,
1394639,Physics and Astronomy,Physical Sciences,,,,
277861,Physics and Astronomy,Physical Sciences,,,,
1329325,Physics and Astronomy,Physical Sciences,,,,
503679,Materials Science,Physical Sciences,Physics and Astronomy,Physical Sciences,,
1428539,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
101624,Physics and Astronomy,Physical Sciences,,,,
1327504,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,,
481920,Materials Science,Physical Sciences,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences
1293845,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,,
626210,Physics and Astronomy,Physical Sciences,,,,
1484690,Physics and Astronomy,Physical Sciences,,,,
29244,Physics and Astronomy,Physical Sciences,,,,
1364826,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,,
36121,Physics and Astronomy,Physical Sciences,,,,
1513341,Physics and Astronomy,Physical Sciences,,,,
1416400,Physics and Astronomy,Physical Sciences,,,,
303266,Physics and Astronomy,Physical Sciences,"Economics, Econometrics and Finance",Social Sciences,Computer Science,Physical Sciences
296964,Physics and Astronomy,Physical Sciences,Environmental Science,Physical Sciences,,
1332833,Physics and Astronomy,Physical Sciences,,,,
90879,Physics and Astronomy,Physical Sciences,,,,
1355725,Physics and Astronomy,Physical Sciences,,,,
76167,Physics and Astronomy,Physical Sciences,Chemistry,Physical Sciences,,
1310317,Physics and Astronomy,Physical Sciences,Chemistry,Physical Sciences,,
704865,Physics and Astronomy,Physical Sciences,Environmental Science,Physical Sciences,,
1272292,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,,
1000254,Physics and Astronomy,Physical Sciences,,,,
1441693,Physics and Astronomy,Physical Sciences,,,,
216176,Physics and Astronomy,Physical Sciences,,,,
1381606,Physics and Astronomy,Physical Sciences,,,,
280899,Physics and Astronomy,Physical Sciences,,,,
280890,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,,
1472357,Engineering,Physical Sciences,Physics and Astronomy,Physical Sciences,,
1349360,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,,
