"metric","test","estimate","p_value","median_diff","Q1","Q3","p_adjusted","effect_direction"
"avg_sentence_length","Wilcoxon test",NA,0.0123961912653517,0.229523057262449,-1.45708810924181,1.9994473430082,0.0483024004477499,"Increase After GPT"
"flesch_reading_ease","Wilcoxon test",NA,0.00763412658841715,0.399999999999999,-4.77,7.35375,0.0375046186315709,"Increase After GPT"
"noun_ttr","Wilcoxon test",NA,0.00250734018397201,0.00733049999999999,-0.0408655,0.0544485,0.0177080900493023,"Increase After GPT"
"argument_ttr","Wilcoxon test",NA,0.00315617755192897,0.00834166666666666,-0.03987575,0.051725,0.0198137812982208,"Increase After GPT"
"adjacent_overlap_fw_sent","Wilcoxon test",NA,0.0101596185669003,0.0028955,-0.01777225,0.023032,0.0459214759223895,"Increase After GPT"
"adjacent_overlap_fw_sent_div_seg","Wilcoxon test",NA,0.00111698774121214,0.0240585,-0.167672,0.254607,0.0126219614756972,"Increase After GPT"
"adjacent_overlap_2_fw_sent","Wilcoxon test",NA,0.00717733577780904,0.00344974999999997,-0.023052,0.03011525,0.0368654064951101,"Increase After GPT"
"adjacent_overlap_2_fw_sent_div_seg","Wilcoxon test",NA,0.00141475420571341,0.0428249999999999,-0.2438075,0.356335,0.013409853998445,"Increase After GPT"
"adjacent_overlap_verb_sent_div_seg","Wilcoxon test",NA,0.00358473213258343,0.003620525,-0.021647675,0.0270883875,0.0213197226832593,"Increase After GPT"
"adjacent_overlap_binary_verb_sent","Wilcoxon test",NA,0.00195732867821822,0.003212,-0.0178135125,0.022975425,0.0147452093759106,"Increase After GPT"
"adjacent_overlap_2_verb_sent_div_seg","Wilcoxon test",NA,0.00185735976831885,0.0032366,-0.029058175,0.0427368,0.0147452093759106,"Increase After GPT"
"adjacent_overlap_binary_2_verb_sent","Wilcoxon test",NA,0.000742887583171131,0.0039213,-0.023411275,0.034277475,0.00932736632203753,"Increase After GPT"
"adjacent_overlap_binary_adj_sent","Wilcoxon test",NA,0.00709014200483354,0.002903175,-0.01710805,0.0234338125,0.0368654064951101,"Increase After GPT"
"adjacent_overlap_binary_2_adj_sent","Wilcoxon test",NA,0.011662688272589,0.0027631,-0.0269242125,0.033418275,0.0470672776715198,"Increase After GPT"
"lda_1_all_sent","Wilcoxon test",NA,0.00146090735955068,0.00207266666666667,-0.011481625,0.01613475,0.013409853998445,"Increase After GPT"
"lda_2_all_sent","Wilcoxon test",NA,7.86423828355765e-05,0.00189083333333334,-0.00874174999999996,0.013480875,0.00222164731510504,"Increase After GPT"
"conjunctions","Wilcoxon test",NA,0.00547917465480371,-0.00040541,-0.0036517125,0.00259595,0.030957336799641,"Decrease After GPT"
"lexical_subordinators","Wilcoxon test",NA,2.41544077079387e-05,0.000374854999999999,-0.0015484725,0.0024235675,0.00136472403549854,"Increase After GPT"
"sentence_linking","Wilcoxon test",NA,0.00154272656619279,0.000365705,-0.001986645,0.00283624625,0.013409853998445,"Increase After GPT"
"the_order","Wilcoxon test",NA,0.00012512753868185,-0.000165789999999995,-0.001227095,0.000802347999999992,0.00282788237420981,"Decrease After GPT"
"reason_and_purpose","Wilcoxon test",NA,0.000486597206914384,0.00028286,-0.001334615,0.0018833175,0.00687318554766568,"Increase After GPT"
"positive_causal","Wilcoxon test",NA,0.0111454065495605,0.0004112,-0.00254004,0.0031135125,0.0466455903740866,"Increase After GPT"
"determiners","Wilcoxon test",NA,6.99589507199786e-07,0.00239452374999998,-0.00716733750000013,0.01221595,7.90536143135758e-05,"Increase After GPT"
"all_additive","Wilcoxon test",NA,0.00311110583444499,-0.000474699999999949,-0.0044311499999999,0.00312334999999992,0.0198137812982208,"Decrease After GPT"
"all_logical","Wilcoxon test",NA,0.000316525302888294,0.000638899999999951,-0.00313947499999996,0.0045072,0.00510962274662532,"Increase After GPT"
"positive_logical","Wilcoxon test",NA,0.000157186236255156,0.000322415,-0.001897365,0.00280469375,0.00296034078280543,"Increase After GPT"
"negative_logical","Wilcoxon test",NA,0.00796558271820974,9.9035000000005e-05,-0.000603615,0.000801404999999992,0.0375046186315709,"Increase After GPT"
"positive_intentional","Wilcoxon test",NA,7.10531201350104e-05,0.000104484999999995,-0.000393129000000003,0.000637962499999998,0.00222164731510504,"Increase After GPT"
"repeated_content_lemmas","Wilcoxon test",NA,0.0106205543708495,-0.00380099999999997,-0.0279945,0.02194925,0.0461585632271536,"Decrease After GPT"
