"metric","test","estimate","p_value","median_diff","Q1","Q3","p_adjusted","effect_direction"
"flesch_reading_ease","Wilcoxon test",NA,0.00244655039184893,0.305,-3.405,7.0325,0.0100661926585623,"Increase After GPT"
"lemma_ttr","Wilcoxon test",NA,0.000238088617720615,0.00767587499999998,-0.0249005,0.039962625,0.0014946674334683,"Increase After GPT"
"lemma_mattr","Wilcoxon test",NA,1.41197601608481e-05,0.006081,-0.012759,0.01945425,0.000145048445288712,"Increase After GPT"
"content_ttr","Wilcoxon test",NA,1.7165525076451e-05,0.010286,-0.0276085,0.0523,0.000161642027803247,"Increase After GPT"
"function_ttr","Wilcoxon test",NA,0.00453352380991294,0.00373233333333332,-0.0196215,0.02500475,0.0160090059537551,"Increase After GPT"
"function_mattr","Wilcoxon test",NA,0.0105493977472054,0.00383624999999999,-0.016125125,0.0204685,0.0313705775114266,"Increase After GPT"
"noun_ttr","Wilcoxon test",NA,1.93212648124539e-08,0.0128878333333333,-0.024564,0.0621635,5.45825730951822e-07,"Increase After GPT"
"argument_ttr","Wilcoxon test",NA,1.78036814856061e-08,0.0118935,-0.02416,0.0592765,5.45825730951822e-07,"Increase After GPT"
"adjacent_overlap_all_sent","Wilcoxon test",NA,0.0151310013145013,-0.00284875000000001,-0.018881,0.01440875,0.0417025158180159,"Decrease After GPT"
"adjacent_overlap_2_all_sent","Wilcoxon test",NA,0.00725413697078264,-0.00334325000000002,-0.02538,0.018428,0.0221545264242821,"Decrease After GPT"
"adjacent_overlap_cw_sent","Wilcoxon test",NA,3.93071209014314e-05,-0.00367405,-0.0183024,0.0109214,0.000317264618704411,"Decrease After GPT"
"adjacent_overlap_cw_sent_div_seg","Wilcoxon test",NA,0.00322835593590751,-0.021157,-0.24857275,0.163766,0.012198207550836,"Decrease After GPT"
"adjacent_overlap_binary_cw_sent","Wilcoxon test",NA,0.00681522248427786,-0.0105865,-0.0751295,0.05768675,0.0213922261312055,"Decrease After GPT"
"adjacent_overlap_2_cw_sent","Wilcoxon test",NA,4.48701575653117e-05,-0.00430100000000001,-0.025722,0.01594375,0.000338021853658681,"Decrease After GPT"
"adjacent_overlap_2_cw_sent_div_seg","Wilcoxon test",NA,0.00543071660498787,-0.0278750000000001,-0.3746225,0.244042,0.0180491463636362,"Decrease After GPT"
"adjacent_overlap_noun_sent","Wilcoxon test",NA,7.91409702328968e-07,-0.00513915,-0.0234113,0.013095925,1.11786620453967e-05,"Decrease After GPT"
"adjacent_overlap_noun_sent_div_seg","Wilcoxon test",NA,0.00074776211695016,-0.027844,-0.202433,0.128834,0.00402367234358896,"Decrease After GPT"
"adjacent_overlap_binary_noun_sent","Wilcoxon test",NA,0.00190349962862734,-0.014398,-0.0698325,0.05039225,0.00827290223211112,"Decrease After GPT"
"adjacent_overlap_2_noun_sent","Wilcoxon test",NA,6.46637961309171e-07,-0.00820599999999999,-0.03362875,0.018704625,1.11786620453967e-05,"Decrease After GPT"
"adjacent_overlap_2_noun_sent_div_seg","Wilcoxon test",NA,0.00181996382222546,-0.0396264999999999,-0.30710225,0.188513571428571,0.00822623647645906,"Decrease After GPT"
"adjacent_overlap_binary_2_noun_sent","Wilcoxon test",NA,0.0112746536891671,-0.01319175,-0.0829885,0.064613625,0.0326675863301509,"Decrease After GPT"
"adjacent_overlap_argument_sent","Wilcoxon test",NA,1.05346868446338e-06,-0.005284475,-0.023806125,0.012518425,1.19041961344362e-05,"Decrease After GPT"
"adjacent_overlap_argument_sent_div_seg","Wilcoxon test",NA,0.000994306168744592,-0.028616,-0.20237075,0.1331825,0.00510711804855177,"Decrease After GPT"
"adjacent_overlap_binary_argument_sent","Wilcoxon test",NA,0.00405149627249992,-0.0128325,-0.06885375,0.05223375,0.0147683573804029,"Decrease After GPT"
"adjacent_overlap_2_argument_sent","Wilcoxon test",NA,9.9513781600357e-07,-0.00791250000000001,-0.0344405,0.0182775,1.19041961344362e-05,"Decrease After GPT"
"adjacent_overlap_2_argument_sent_div_seg","Wilcoxon test",NA,0.00249427782690038,-0.04184,-0.31139125,0.20418,0.0100661926585623,"Decrease After GPT"
"syn_overlap_sent_noun","Wilcoxon test",NA,3.57477863302838e-05,-0.04018025,-0.3084575,0.172032,0.000310730758101698,"Decrease After GPT"
"lsa_1_all_sent","Wilcoxon test",NA,0.000606055066756757,-0.00507450000000001,-0.035837,0.02317975,0.00342421112717568,"Decrease After GPT"
"lsa_2_all_sent","Wilcoxon test",NA,0.0132095170949598,-0.0020965,-0.02687175,0.019565125,0.0373168857932614,"Decrease After GPT"
"lda_2_all_sent","Wilcoxon test",NA,0.00497949934144711,-0.002002,-0.0119714999999999,0.00893000000000002,0.0170510128964704,"Decrease After GPT"
"word2vec_2_all_sent","Wilcoxon test",NA,0.00597646623051441,-0.00167299999999998,-0.0156755,0.0103019999999999,0.0192954481156608,"Decrease After GPT"
"lexical_subordinators","Wilcoxon test",NA,0.00323846218163788,0.000193605,-0.001181085,0.00175022375,0.012198207550836,"Increase After GPT"
"coordinating_conjuncts","Wilcoxon test",NA,0.00155384112345715,5.41775e-05,-0.0003695865,0.00063437575,0.00731600195627742,"Increase After GPT"
"the_order","Wilcoxon test",NA,5.87517338554599e-13,-0.000407399500000001,-0.0011805275,0.000391965000000008,6.63894592566696e-11,"Decrease After GPT"
"determiners","Wilcoxon test",NA,0.000169815550023702,0.00250755,-0.00730419999999997,0.0119028874999999,0.00112877395015755,"Increase After GPT"
"all_additive","Wilcoxon test",NA,0.00129066194041093,-0.000441099999999951,-0.00414339999999993,0.00300055,0.00634107822897544,"Decrease After GPT"
"positive_logical","Wilcoxon test",NA,7.48105696163236e-05,0.000429765,-0.0011436675,0.0020002375,0.000528349647915285,"Increase After GPT"
"all_temporal","Wilcoxon test",NA,1.8756376162562e-08,-0.00050505,-0.0018263175,0.0008263225,5.45825730951822e-07,"Decrease After GPT"
"positive_intentional","Wilcoxon test",NA,0.000309742736372564,0.000119079000000001,-0.00031140475,0.000530010000000001,0.00184215416895261,"Increase After GPT"
"repeated_content_lemmas","Wilcoxon test",NA,6.37337083579602e-07,-0.00738575,-0.028818375,0.015089,1.11786620453967e-05,"Decrease After GPT"
"repeated_content_and_pronoun_lemmas","Wilcoxon test",NA,7.64778117542545e-07,-0.00690850000000001,-0.02844875,0.0147281785714286,1.11786620453967e-05,"Decrease After GPT"
