"metric","estimate","p_value","CI_lower","CI_upper","marginal_rsq","p_adjusted"
"word_count",275.46495191184,0.00689507504644992,75.6655904455881,475.253420799092,0.000381585082904239,0.0105289659493087
"sentence_count",24.2896615996443,2.94764870362302e-07,15.0099612422968,33.5695727454776,0.00126068474691102,8.12400740266833e-07
"avg_sentence_length",-0.187324501126755,0.0417312435543516,-0.367635053214389,-0.00703549961616721,0.000181320183391894,0.058217660761009
"type_token_ratio",0.0018346022845782,0.0250877967898674,0.000229557047484597,0.00343963417534517,0.000212601734487679,0.0358850764209496
"flesch_reading_ease",-4.364646077415,0.169634935678881,-10.5940579362846,1.86375468432271,0.000117474966019282,0.217826678769472
"flesch_kincaid_grade",0.521086288710734,0.239538023407373,-0.347218529954218,1.38953690815763,8.60478238230245e-05,0.302352346825848
"gunning_fog",0.0977727978984609,0.492641622079627,-0.181516287990849,0.377106984828358,2.89037880397105e-05,0.556685032949979
"lemma_ttr",-0.00609632895768527,1.01587522598092e-16,-0.00753290903998294,-0.00465978225694291,0.00301633676080418,6.37743891865797e-16
"lemma_mattr",-0.00283515902725923,5.68690207106431e-15,-0.00354549390262682,-0.00212483078291357,0.00224934313842577,3.06009492395365e-14
"lexical_density_tokens",0.00117913817146771,0.0068574287256891,0.000324524473839051,0.00203381242604817,0.000267543524554827,0.0105289659493087
"lexical_density_types",-0.00238076299112948,0.000145199491532985,-0.003608514593195,-0.00115292689030483,0.000472411352391449,0.000287851623565391
"content_ttr",-0.00965639716900534,2.88910810688367e-25,-0.0114737619430018,-0.00783906258965904,0.00449597023062373,4.08086520097318e-24
"function_ttr",-0.00314656339308637,5.43669853953235e-09,-0.00420293868178128,-0.00209026139323951,0.00135443789036187,1.91983417177236e-08
"function_mattr",-0.00150522906765402,0.00041887469428029,-0.00234129434897163,-0.000669274258106151,0.000430332549244755,0.00077594820415857
"noun_ttr",-0.0129323242006999,1.45910948201337e-45,-0.0147121934685687,-0.0111524732634357,0.00813269104875674,8.24396857337556e-44
"verb_ttr",-0.00608283732663109,1.05836571715711e-06,-0.00852430671806794,-0.00364152454503898,0.00097375589966007,2.6576739119723e-06
"adj_ttr",-0.00426093184482438,0.000510365884343864,-0.00666329285438668,-0.00185854724337521,0.0005196272998737,0.000930182982755753
"adv_ttr",0.0015897748018074,0.256566552345802,-0.00115658418875779,0.00433613249169832,5.07497945974081e-05,0.315130656685605
"prp_ttr",-0.0011570935838353,0.107633053082376,-0.00256656255594497,0.000252415766696525,0.000103757786036606,0.143088647038924
"argument_ttr",-0.0122664858215562,2.39415036143121e-42,-0.0140209690469579,-0.0105120216315897,0.00765543833154913,9.01796636139089e-41
"bigram_lemma_ttr",-0.00231362140035429,0.00926173655465249,-0.00405594631371926,-0.000571321319380106,0.000255895623788557,0.0137707398773123
"trigram_lemma_ttr",-0.00206266158490378,0.00265211798198498,-0.00340755067573023,-0.000717822437571796,0.000326202307925856,0.00446762014516574
"adjacent_overlap_all_sent",0.000579476324201617,0.0597933356244813,-2.38600795237746e-05,0.00118281596799806,0.000127440519326077,0.0823981332386145
"adjacent_overlap_all_sent_div_seg",-0.0087025629776457,0.30880874836503,-0.0254624522400444,0.00805672049469968,2.81256426888246e-05,0.363493630888004
"adjacent_overlap_binary_all_sent",-0.00554554189946809,7.18911932825707e-05,-0.00828237345900676,-0.00280882936855957,0.000481768851181255,0.00015043897853575
"adjacent_overlap_2_all_sent",0.000901546663057347,0.0289244340886668,9.27531474598064e-05,0.00171033582200592,0.000181517480922333,0.0408557631502419
