"metric","test","estimate","p_value","median_diff","Q1","Q3","p_adjusted","effect_direction"
"word_count","Wilcoxon test",NA,7.24033305553629e-05,-303,-3062.5,2542.5,0.000181812807839022,"Decrease After GPT"
"sentence_count","Wilcoxon test",NA,9.6095978122487e-09,-16,-161,117,3.74442949235897e-08,"Decrease After GPT"
"flesch_reading_ease","Wilcoxon test",NA,0.0255786333760814,0,-5.6,7.14833333333333,0.0395943228972219,"No Effect"
"flesch_kincaid_grade","Wilcoxon test",NA,0.0221570551797581,0.0999999999999996,-1.1,1.1,0.0347742671571203,"Increase After GPT"
"gunning_fog","Wilcoxon test",NA,1.8767869620125e-13,0.145,-0.61,0.87,1.17820514837452e-12,"Increase After GPT"
"lemma_ttr","Wilcoxon test",NA,1.97346618972998e-23,0.00834600000000002,-0.024754,0.041879,2.23001679439488e-22,"Increase After GPT"
"lemma_mattr","Wilcoxon test",NA,2.94977769296692e-16,0.00275000000000003,-0.011618,0.017398,2.5640375331174e-15,"Increase After GPT"
"lexical_density_types","Wilcoxon test",NA,6.17221963588463e-06,0.00315699999999997,-0.0223055,0.027532,1.88502924014855e-05,"Increase After GPT"
"content_ttr","Wilcoxon test",NA,5.03677634912793e-31,0.011768,-0.029256,0.0555765,1.13831145490291e-29,"Increase After GPT"
"function_ttr","Wilcoxon test",NA,2.8337100661303e-11,0.0042013,-0.02063795,0.0289601,1.52480589272725e-10,"Increase After GPT"
"noun_ttr","Wilcoxon test",NA,5.75718360559499e-49,0.014751,-0.0256045,0.05763025,3.25280873716117e-47,"Increase After GPT"
"verb_ttr","Wilcoxon test",NA,9.95745305669106e-11,0.00907399999999997,-0.0490875,0.070677,5.11450997911859e-10,"Increase After GPT"
"adj_ttr","Wilcoxon test",NA,1.20914050256734e-07,0.00732899999999997,-0.0510165,0.068284,4.14039020576089e-07,"Increase After GPT"
"prp_ttr","Wilcoxon test",NA,5.38306557247196e-05,0.0018983,-0.020298125,0.02573765,0.00013824691129303,"Increase After GPT"
