"metric","test","estimate","p_value","median_diff","Q1","Q3","p_adjusted","effect_direction"
"word_count","Wilcoxon test",NA,0.000148056717174638,-244.5,-3035.75,2645,0.000293515948083055,"Decrease After GPT"
"sentence_count","Wilcoxon test",NA,3.52004835586624e-08,-14,-165,132,1.07504179516996e-07,"Decrease After GPT"
"avg_sentence_length","Wilcoxon test",NA,0.0134220394904613,0.114072315,-1.97441045,2.2478827275,0.0187245736101498,"Increase After GPT"
"flesch_reading_ease","Wilcoxon test",NA,9.23068606589477e-06,0.110000000000003,-5.01,7.23999999999999,2.26753809879589e-05,"Increase After GPT"
"gunning_fog","Wilcoxon test",NA,5.75525910035912e-09,0.0899999999999999,-0.65875,0.81,2.09788476884058e-08,"Increase After GPT"
"lemma_ttr","Wilcoxon test",NA,1.77059569776142e-21,0.006506,-0.02754125,0.0404475,1.53905626036185e-20,"Increase After GPT"
"lemma_mattr","Wilcoxon test",NA,5.25083384817539e-18,0.00266900000000003,-0.0131762499999999,0.0186005,3.29635680468788e-17,"Increase After GPT"
"lexical_density_tokens","Wilcoxon test",NA,0.0121716115115118,-0.000985500000000028,-0.01999625,0.017978125,0.0171924012600104,"Decrease After GPT"
"lexical_density_types","Wilcoxon test",NA,4.82334255444824e-05,0.00206600000000001,-0.0227135,0.0261195,0.000102837303519368,"Increase After GPT"
"content_ttr","Wilcoxon test",NA,4.59337695618214e-30,0.009811,-0.032917,0.053767,6.48814495060727e-29,"Increase After GPT"
"function_ttr","Wilcoxon test",NA,4.01252485537949e-11,0.0033766,-0.0210323,0.027094125,1.74390503329955e-10,"Increase After GPT"
"function_mattr","Wilcoxon test",NA,0.00254692408642902,0.00175549999999997,-0.019366,0.02140525,0.00411146316809256,"Increase After GPT"
"noun_ttr","Wilcoxon test",NA,5.71443621281195e-51,0.0126445,-0.0300235,0.056914125,3.22865646023875e-49,"Increase After GPT"
"verb_ttr","Wilcoxon test",NA,7.2385824680717e-09,0.00627949999999999,-0.053124,0.066826125,2.55612443403782e-08,"Increase After GPT"
"adj_ttr","Wilcoxon test",NA,8.1760436717158e-05,0.00404500000000002,-0.05537275,0.0669694999999999,0.00017109128424146,"Increase After GPT"
"prp_ttr","Wilcoxon test",NA,0.00140130008287116,0.00107645,-0.020987625,0.0245929375,0.00243610629791447,"Increase After GPT"
"argument_ttr","Wilcoxon test",NA,5.2404414193516e-49,0.0120565,-0.029964,0.055236,1.9738996012891e-47,"Increase After GPT"
"bigram_lemma_ttr","Wilcoxon test",NA,0.0085213229901184,0.00313400000000003,-0.0444675,0.04745675,0.012669861814255,"Increase After GPT"
"trigram_lemma_ttr","Wilcoxon test",NA,0.00245393039170421,0.00234299999999998,-0.0306687500000001,0.0333738750000001,0.00401875556902284,"Increase After GPT"
"adjacent_overlap_all_sent","Wilcoxon test",NA,0.0310025930205548,-0.000927499999999998,-0.01613175,0.015129125,0.0422083495340084,"Decrease After GPT"
"adjacent_overlap_binary_all_sent","Wilcoxon test",NA,0.00462194693335443,0.00271574999999999,-0.05874575,0.06795475,0.00715452059546645,"Increase After GPT"
"adjacent_overlap_2_all_sent","Wilcoxon test",NA,0.00482989747220781,-0.00166391666666668,-0.021185,0.019643375,0.00737538397783085,"Decrease After GPT"
"adjacent_overlap_binary_2_all_sent","Wilcoxon test",NA,0.00191566476455336,0.00282650000000001,-0.05206725,0.0601685,0.0031833840940372,"Increase After GPT"
"adjacent_overlap_cw_sent","Wilcoxon test",NA,7.28624724116577e-11,-0.0019125,-0.0166392,0.0129125,2.9405212080419e-10,"Decrease After GPT"
"adjacent_overlap_cw_sent_div_seg","Wilcoxon test",NA,0.000392698714552275,-0.0126949999999999,-0.20797575,0.17618625,0.000727458274498476,"Decrease After GPT"
"adjacent_overlap_2_cw_sent","Wilcoxon test",NA,3.41385105263309e-11,-0.00251725000000001,-0.0231085,0.01723225,1.54306067579016e-10,"Decrease After GPT"
"adjacent_overlap_2_cw_sent_div_seg","Wilcoxon test",NA,0.00152290762045782,-0.0168200000000002,-0.30691975,0.2713425,0.00256848598674229,"Decrease After GPT"
"adjacent_overlap_fw_sent","Wilcoxon test",NA,0.00291811133919832,0.000851500000000019,-0.02005875,0.023424,0.00464431804689311,"Increase After GPT"
"adjacent_overlap_fw_sent_div_seg","Wilcoxon test",NA,0.00144186102108561,0.0100924999999999,-0.2277275,0.254515666666667,0.00246864083913142,"Increase After GPT"
"adjacent_overlap_binary_fw_sent","Wilcoxon test",NA,3.5894816216072e-05,0.00390699999999999,-0.061425,0.072773375,7.80021967772334e-05,"Increase After GPT"
"adjacent_overlap_2_fw_sent","Wilcoxon test",NA,0.0118734716949025,0.00113450000000001,-0.025134625,0.02861775,0.0169835734370124,"Increase After GPT"
"adjacent_overlap_2_fw_sent_div_seg","Wilcoxon test",NA,0.00359866932295716,0.015585,-0.3211675,0.35384625,0.00564791157630776,"Increase After GPT"
"adjacent_overlap_binary_2_fw_sent","Wilcoxon test",NA,0.000226831567467017,0.0042915,-0.0587388333333334,0.0673439999999999,0.000441930467651258,"Increase After GPT"
"adjacent_overlap_noun_sent","Wilcoxon test",NA,3.36500417061406e-18,-0.00331818333333333,-0.0212535375,0.014966225,2.23673806634935e-17,"Decrease After GPT"
"adjacent_overlap_noun_sent_div_seg","Wilcoxon test",NA,1.95501227519224e-06,-0.0145655,-0.17136175,0.14112175,5.52290967741809e-06,"Decrease After GPT"
"adjacent_overlap_binary_noun_sent","Wilcoxon test",NA,0.013854119124493,-0.00362850000000001,-0.060662875,0.05471725,0.0190916519642404,"Decrease After GPT"
"adjacent_overlap_2_noun_sent","Wilcoxon test",NA,2.25673398881829e-20,-0.00438299999999998,-0.02986775,0.02047475,1.82150671954619e-19,"Decrease After GPT"
"adjacent_overlap_2_noun_sent_div_seg","Wilcoxon test",NA,8.42892443526454e-06,-0.0188815,-0.2584345,0.21093325,2.11659658041087e-05,"Decrease After GPT"
"adjacent_overlap_adv_sent_div_seg","Wilcoxon test",NA,0.000285677279066438,0.000452324999999999,-0.006937005625,0.008001,0.000547144619228941,"Increase After GPT"
"adjacent_overlap_binary_adv_sent","Wilcoxon test",NA,0.000102927483881335,0.000474305,-0.0064678125,0.007569145,0.000211469194156198,"Increase After GPT"
"adjacent_overlap_2_adv_sent_div_seg","Wilcoxon test",NA,5.13248105142703e-06,0.000895000000000003,-0.01043536,0.012992625,1.38088180669346e-05,"Increase After GPT"
"adjacent_overlap_binary_2_adv_sent","Wilcoxon test",NA,1.65289966534939e-06,0.000897849999999999,-0.00967135,0.0119688175,4.78917082524309e-06,"Increase After GPT"
"adjacent_overlap_pronoun_sent_div_seg","Wilcoxon test",NA,6.95686662622268e-06,0.00189687,-0.022458575,0.027979025,1.7866498380981e-05,"Increase After GPT"
"adjacent_overlap_binary_pronoun_sent","Wilcoxon test",NA,9.71122290035546e-06,0.00158485,-0.02036425,0.0247238125,2.28618372445868e-05,"Increase After GPT"
"adjacent_overlap_2_pronoun_sent_div_seg","Wilcoxon test",NA,9.43575398106413e-06,0.00309470000000001,-0.0353043,0.042744,2.26859616991542e-05,"Increase After GPT"
"adjacent_overlap_binary_2_pronoun_sent","Wilcoxon test",NA,2.06322068926732e-05,0.002509,-0.030145325,0.036049725,4.75803954871852e-05,"Increase After GPT"
"adjacent_overlap_argument_sent","Wilcoxon test",NA,1.805440082783e-16,-0.003223,-0.020978525,0.0149631875,1.07376173344462e-15,"Decrease After GPT"
"adjacent_overlap_argument_sent_div_seg","Wilcoxon test",NA,3.4068082536587e-05,-0.013611,-0.17677375,0.150642,7.54841828751829e-05,"Decrease After GPT"
"adjacent_overlap_2_argument_sent","Wilcoxon test",NA,1.10396656953224e-18,-0.00417825000000001,-0.029567275,0.020396,8.31654815714284e-18,"Decrease After GPT"
"adjacent_overlap_2_argument_sent_div_seg","Wilcoxon test",NA,0.000117123820895564,-0.01555925,-0.261225,0.22291,0.000236339138592834,"Decrease After GPT"
"syn_overlap_sent_noun","Wilcoxon test",NA,5.18993002638831e-12,-0.030278,-0.275345625,0.2102375,2.44359205409116e-11,"Decrease After GPT"
"syn_overlap_sent_verb","Wilcoxon test",NA,0.00104524630544358,-0.00208800000000001,-0.0341983375,0.0302405875,0.00184551300804882,"Decrease After GPT"
"lsa_1_all_sent","Wilcoxon test",NA,7.26184263104614e-11,-0.0037175,-0.03161075,0.0249145,2.9405212080419e-10,"Decrease After GPT"
"lsa_2_all_sent","Wilcoxon test",NA,0.000612155481579688,-0.001245,-0.022557,0.0196295,0.00111570273255653,"Decrease After GPT"
"lda_1_all_sent","Wilcoxon test",NA,0.0113711248633672,0.000522999999999996,-0.0131006666666667,0.014791125,0.016473552686673,"Increase After GPT"
"lda_2_all_sent","Wilcoxon test",NA,0.00660567416081835,0.000322499999999948,-0.01018325,0.0118745,0.00995254906896631,"Increase After GPT"
"basic_connectives","Wilcoxon test",NA,1.27486230960096e-10,-0.000365799999999999,-0.003412275,0.00265985,4.96756693051408e-10,"Decrease After GPT"
"conjunctions","Wilcoxon test",NA,2.63912471934337e-14,-0.000359299999999998,-0.003350825,0.0024426,1.4201004442181e-13,"Decrease After GPT"
"lexical_subordinators","Wilcoxon test",NA,1.40784718310312e-18,0.00028666,-0.0014569425,0.00202727125,9.94292073066579e-18,"Increase After GPT"
"coordinating_conjuncts","Wilcoxon test",NA,1.94395218152082e-25,0.00010209675,-0.00044841725,0.0007139825,2.19666596511852e-24,"Increase After GPT"
"addition","Wilcoxon test",NA,1.09881565988621e-08,-0.000303666666666667,-0.00335875,0.0026145,3.7626111990043e-08,"Decrease After GPT"
"sentence_linking","Wilcoxon test",NA,2.19721304388903e-08,0.000202750000000001,-0.00191,0.00247778916666667,7.09385925598459e-08,"Increase After GPT"
"the_order","Wilcoxon test",NA,1.28647917854102e-96,-0.000346715,-0.0011639675,0.0004477215,1.45372147175135e-94,"Decrease After GPT"
"reason_and_purpose","Wilcoxon test",NA,2.05743651335796e-08,0.00015521,-0.001294745,0.00161923927083333,6.83795076498381e-08,"Increase After GPT"
"all_causal","Wilcoxon test",NA,3.35318279197233e-22,0.000263815,-0.00114540875,0.0017040825,3.15758046244061e-21,"Increase After GPT"
"positive_causal","Wilcoxon test",NA,5.25064613261598e-14,0.000403233333333333,-0.00213979375,0.002855705,2.69692278629821e-13,"Increase After GPT"
"opposition","Wilcoxon test",NA,0.000368353814026467,5.305e-05,-0.0006657025,0.00074582125,0.000693733016416513,"Increase After GPT"
"determiners","Wilcoxon test",NA,2.17387320177278e-16,0.00146865,-0.00835506,0.01182905,1.22823835900162e-15,"Increase After GPT"
"all_demonstratives","Wilcoxon test",NA,0.000688336591328833,0.000145049999999999,-0.0021031675,0.00249515,0.00123463547333584,"Increase After GPT"
"unattended_demonstratives","Wilcoxon test",NA,3.76759771785966e-09,0.000181775,-0.0014832525,0.00191771,1.41912847372714e-08,"Increase After GPT"
"all_additive","Wilcoxon test",NA,2.11024646191277e-32,-0.000819250000000001,-0.004178275,0.00257665,3.97429750326905e-31,"Decrease After GPT"
"all_logical","Wilcoxon test",NA,1.04829905358572e-13,0.000465674999999999,-0.0028747,0.0037486,5.15033882848638e-13,"Increase After GPT"
"positive_logical","Wilcoxon test",NA,6.63492020970542e-24,0.000363775,-0.00147974,0.00225360125,6.81587257906102e-23,"Increase After GPT"
"negative_logical","Wilcoxon test",NA,6.89406536785271e-06,5.8315e-05,-0.0006315175,0.0007586325,1.7866498380981e-05,"Increase After GPT"
"all_temporal","Wilcoxon test",NA,7.28347092134963e-43,-0.000374555,-0.00181645,0.00103271375,2.05758053528127e-41,"Decrease After GPT"
"positive_intentional","Wilcoxon test",NA,1.26301291009994e-25,8.63031666666666e-05,-0.00033035275,0.00051425175,1.58578287601437e-24,"Increase After GPT"
